"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "Markdown", "YAML", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"/Users/marcossandovalruiz/Documents/quhealthy/hooks/useWebRTC.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 142
"/Users/marcossandovalruiz/Documents/quhealthy/i18n/request.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/marcossandovalruiz/Documents/quhealthy/i18n/routing.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 16
"/Users/marcossandovalruiz/Documents/quhealthy/lib/animations.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 104
"/Users/marcossandovalruiz/Documents/quhealthy/lib/axios.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 41, 33, 267
"/Users/marcossandovalruiz/Documents/quhealthy/lib/constants.ts", "TypeScript", 236, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 257
"/Users/marcossandovalruiz/Documents/quhealthy/lib/constants/color.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 52
"/Users/marcossandovalruiz/Documents/quhealthy/lib/constants/content.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 86
"/Users/marcossandovalruiz/Documents/quhealthy/lib/cookie-consent.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/marcossandovalruiz/Documents/quhealthy/lib/firebase.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/marcossandovalruiz/Documents/quhealthy/lib/formatMessageTime.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 30
"/Users/marcossandovalruiz/Documents/quhealthy/lib/handleApiError.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 95
"/Users/marcossandovalruiz/Documents/quhealthy/lib/hooks/useIntersectionObserver.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 34
"/Users/marcossandovalruiz/Documents/quhealthy/lib/hooks/useScrollProgress.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
"/Users/marcossandovalruiz/Documents/quhealthy/lib/stripe.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/marcossandovalruiz/Documents/quhealthy/lib/subscriptionUtils.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 17, 16, 156
"/Users/marcossandovalruiz/Documents/quhealthy/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/marcossandovalruiz/Documents/quhealthy/messages/en.json", "JSON", 0, 0, 0, 4076, 0, 0, 0, 0, 0, 0, 1, 4077
"/Users/marcossandovalruiz/Documents/quhealthy/messages/es.json", "JSON", 0, 0, 0, 4101, 0, 0, 0, 0, 0, 0, 1, 4102
"/Users/marcossandovalruiz/Documents/quhealthy/next.config.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 102
"/Users/marcossandovalruiz/Documents/quhealthy/package-lock.json", "JSON", 0, 0, 0, 18024, 0, 0, 0, 0, 0, 0, 1, 18025
"/Users/marcossandovalruiz/Documents/quhealthy/package.json", "JSON", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 1, 117
"/Users/marcossandovalruiz/Documents/quhealthy/patch.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/marcossandovalruiz/Documents/quhealthy/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/marcossandovalruiz/Documents/quhealthy/proxy.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 22, 26, 128
"/Users/marcossandovalruiz/Documents/quhealthy/public/animations/health.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/marcossandovalruiz/Documents/quhealthy/public/animations/owl.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/marcossandovalruiz/Documents/quhealthy/public/manifest.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/marcossandovalruiz/Documents/quhealthy/public/sw.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/marcossandovalruiz/Documents/quhealthy/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/marcossandovalruiz/Documents/quhealthy/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/marcossandovalruiz/Documents/quhealthy/public/workbox-4754cb34.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/marcossandovalruiz/Documents/quhealthy/services/admin.service.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/marcossandovalruiz/Documents/quhealthy/services/ai.service.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 17
"/Users/marcossandovalruiz/Documents/quhealthy/services/appointment.service.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 86, 24, 243
"/Users/marcossandovalruiz/Documents/quhealthy/services/auth.services.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 30, 27, 228
"/Users/marcossandovalruiz/Documents/quhealthy/services/calendar-integration.service.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 22, 9, 64
"/Users/marcossandovalruiz/Documents/quhealthy/services/cash-register.service.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 55
